"","Sport","Facet_Type","Facet_Value","Fangraph_URL","Date","Variable","Value","NA."
"189","Football","Entity","San Diego State Universit...","http://www.sportsfangraph.com/team/san-diego-state-university-football",2012-12-06,"Rank",189,NA
"190","Football","Entity","Texas Christian Universit...","http://www.sportsfangraph.com/team/texas-christian-university-football",2012-12-06,"Rank",190,NA
"191","Football","Entity","University of Nevada - La...","http://www.sportsfangraph.com/team/university-of-nevada---las-vegas-football",2012-12-06,"Rank",191,NA
"192","Football","Entity","University of Utah Footba...","http://www.sportsfangraph.com/team/university-of-utah-football",2012-12-06,"Rank",192,NA
"193","Football","Entity","University of Wyoming Foo...","http://www.sportsfangraph.com/team/university-of-wyoming-football",2012-12-06,"Rank",193,NA
"194","Football","Entity","Arizona State University ...","http://www.sportsfangraph.com/team/arizona-state-university-football",2012-12-06,"Rank",194,NA
"195","Football","Entity","University of Southern Ca...","http://www.sportsfangraph.com/team/university-of-southern-california-football",2012-12-06,"Rank",195,NA
"196","Football","Entity","University of Arkansas Fo...","http://www.sportsfangraph.com/team/university-of-arkansas-football",2012-12-06,"Rank",196,NA
"197","Football","Entity","University of Georgia Foo...","http://www.sportsfangraph.com/team/university-of-georgia-football",2012-12-06,"Rank",197,NA
"198","Football","Entity","University of Kentucky Fo...","http://www.sportsfangraph.com/team/university-of-kentucky-football",2012-12-06,"Rank",198,NA
"199","Football","Entity","Arkansas State University...","http://www.sportsfangraph.com/team/arkansas-state-university-football",2012-12-06,"Rank",199,NA
"200","Football","Entity","Florida International Uni...","http://www.sportsfangraph.com/team/florida-international-university-football",2012-12-06,"Rank",200,NA
"201","Football","Entity","University of Louisiana -...","http://www.sportsfangraph.com/team/university-of-louisiana---monroe-football",2012-12-06,"Rank",201,NA
"202","Football","Entity","Troy University Football","http://www.sportsfangraph.com/team/troy-university-football",2012-12-06,"Rank",202,NA
"203","Football","Entity","Western Kentucky Universi...","http://www.sportsfangraph.com/team/western-kentucky-university-football",2012-12-06,"Rank",203,NA
"204","Football","Entity","Fresno State University F...","http://www.sportsfangraph.com/team/fresno-state-university-football",2012-12-06,"Rank",204,NA
"205","Football","Entity","University of Idaho Footb...","http://www.sportsfangraph.com/team/university-of-idaho-football",2012-12-06,"Rank",205,NA
"206","Football","Entity","New Mexico State Universi...","http://www.sportsfangraph.com/team/new-mexico-state-university-football",2012-12-06,"Rank",206,NA
"207","Football","Entity","San Jose State University...","http://www.sportsfangraph.com/team/san-jose-state-university-football",2012-12-06,"Rank",207,NA
"208","Football","Entity","NFL","http://www.sportsfangraph.com/team/nfl",2012-12-06,"Twitter Followers",4183408,NA
"209","Football","Entity","Dallas Cowboys","http://www.sportsfangraph.com/team/dallas-cowboys",2012-12-06,"Twitter Followers",472361,NA
"210","Football","Entity","Pittsburgh Steelers","http://www.sportsfangraph.com/team/pittsburgh-steelers",2012-12-06,"Twitter Followers",461676,NA
"211","Football","Entity","New England Patriots","http://www.sportsfangraph.com/team/new-england-patriots",2012-12-06,"Twitter Followers",486249,NA
"212","Football","Entity","Green Bay Packers","http://www.sportsfangraph.com/team/green-bay-packers",2012-12-06,"Twitter Followers",380174,NA
"213","Football","Entity","New Orleans Saints","http://www.sportsfangraph.com/team/new-orleans-saints",2012-12-06,"Twitter Followers",273378,NA
"214","Football","Entity","New York Giants","http://www.sportsfangraph.com/team/new-york-giants",2012-12-06,"Twitter Followers",440852,NA
